title,company,location,contract_type,posted_date,education_level,skills,languages,salary_range,description,url
BALENCIAGA - LG Collection Merchandising Intern - July 2025 (H/F),Groupe Kering,Paris,Internship,2025-02-13,Not specified,competitive studies; price positioning; trend monitoring; collection monitoring tools construction; sales tools monitoring and updating; showroom installation operational support; sample management; analytical skills; master of office pack,bilingual English,Not specified,"The Balenciaga House is seeking a Leather Goods Collection Merchandising Intern for a full-time position beginning in July 2025. The intern will support the Leather Goods Collection Merchandising department by assisting with various daily tasks, including conducting competitive studies, analyzing pricing positions, tracking trends, and maintaining collection monitoring tools.",https://www.glassdoor.fr/job-listing/j?jl=1009635455291
Team Leader Réseau et Sécurité F/H,Atos,Bezons,Not specified,2025-02-13,Bac+5 en informatique ou domaine équivalent,Fortinet; Stormshield; HP; Aruba; Alcatel; Cisco; ServiceNow; ITIL V3; Agile,Anglais,Not specified,"Atos is seeking a Team Leader for Network and Security within its ""Hybrid Cloud & Infrastructures"" Business Unit, tasked with managing a team of 25-30 professionals in a service center dedicated to the Public & Defense sector. Key responsibilities include overseeing the team's activities, ensuring service commitments are met, managing work distribution, conducting daily meetings, facilitating staff training and recruitment, handling major incidents, and maintaining operational documentation.",https://www.glassdoor.fr/job-listing/j?jl=1009635449568
Chargé d'Etudes Media F/H,Groupe Fnac Darty,Ivry,CDI,2025-02-13,Bac +5,Excel; data analysis; data visualization; Python; SQL,English,Not specified,"The job position of Media Studies Manager at Fnac Darty, a leading European omnichannel retail group, involves working within the Retailink team to collect, analyze, and interpret customer and marketing data across various digital and offline channels.",https://www.glassdoor.fr/job-listing/j?jl=1009635781218
BUSINESS ANALYST DIGITAL H/F,Peppermint,Boulogne-Billancourt,CDI,2025-02-13,Bac + 5 en informatique,intégration de plateformes digitales; E-commerce; CRM; concepts de modélisation; méthodologies Agile; Scrum; Safe; outils de gestion de projet; JIRA; Confluence; analyse des processus métier; analyse des données; Patterns (API; events & file based); plateformes d’intégration type Ipaas,anglais,50000.0 - 65000.0 EUR yearly,"Peppermint is seeking a Business Analyst IT Digital to join their Immersion team, a consulting division focused on innovative, long-term projects in digital solutions for a global leader in B-to-B electrical equipment distribution. This role, based in Boulogne-Billancourt with hybrid remote work options, involves analyzing user needs, designing tailored digital solutions, and acting as the functional reference for the digital IT team in France.",https://www.glassdoor.fr/job-listing/j?jl=1009635358224
BALENCIAGA - Global performance Media - July 2025 (F/H) Intern-,Groupe Kering,Paris,Internship,2025-02-13,Not specified,SEA; Google Analytics; Google Ads; Facebook Business Manager; TikTok Ads; Snapchat Business; Google Looker Studio; Big Query; SA360; GA 4; Excel; Powerpoint,English,Not specified,"Balenciaga is seeking a Media Trainee to support the Global Performance Media Manager in optimizing and managing various acquisition campaigns, including Paid Search, Social, Affiliation, and Display. The role requires close collaboration with internal teams (eCommerce, Communication/Marketing, Merchandising) and external partners (Media Agency, Media Partners) to enhance website performance and traffic, while ensuring campaigns are delivered effectively and within budget.",https://www.glassdoor.fr/job-listing/j?jl=1009635832659
Responsable Marketing F/H,Groupe Fnac Darty,Ivry,CDD,2025-02-13,Bac +5,management; marketing; communication; retail media; data analysis; project management; media planning,Not specified,Not specified,"The position of Marketing Generalist, specifically as a Marketing Manager (F/H), is a 4-month fixed-term contract with a 35-hour workweek at Retailink by Fnac Darty, which focuses on marketing and advertising for brands within the group. The role involves leading a diverse team of six members, including two project managers and a communication specialist, to enhance marketing and communication initiatives.",https://www.glassdoor.fr/job-listing/j?jl=1009635781220
Assistant commercial en alternance H/F/X,Ascencia Business School Saint-Quentin en Yvelines,Montigny,Not specified,2025-02-12,Bachelor's,Microsoft Office; administration des ventes; service client; gestion des commandes; préparation de documents commerciaux; gestion des bases de données; communication,Not specified,Not specified,"Ascencia Business School is offering an opportunity for individuals passionate about commerce to join their Bachelor Visé Gestion et Développement Commercial program as a Sales Assistant (H/F/X) in a work-study format. This position involves responsibilities such as managing order follow-ups, handling sales administration, providing quality customer service, preparing commercial documents like quotes and invoices, utilizing Microsoft Office for creating presentations and reports, and maintain...",https://www.glassdoor.fr/job-listing/j?jl=1009634308250
Investor Relations Intern - Paris Office,Meridiam,Paris,Internship,2025-02-12,Bachelor or Master’s degree,PowerPoint; Word; Excel; quantitative analysis; qualitative analysis; interpersonal skills,English; French,Not specified,"Meridiam, an investment firm founded in 2005, focuses on sustainable public infrastructure projects in sectors such as mobility, energy transition, and social infrastructure. They are currently seeking an Investor Relations Intern to support their fundraising activities across Europe, Africa, and North America.",https://www.glassdoor.fr/job-listing/j?jl=1009634356695
Technico-commercial H/F IDF Nord,ADELYA,Not specified,CDI,2025-02-12,Not specified,prospection active; fidélisation; solutions techniques; analyse des résultats; relation client; autonomie; organisation,Not specified,45000.0 - 60000.0 EUR yearly,"ADELYA, a dynamic and innovative company specializing in professional hygiene solutions, is seeking a motivated Technico-Commercial to strengthen its team in Île-de-France (specifically in the 92/93/95 sectors). The primary responsibilities include developing and managing a BtoB client portfolio through active prospecting and client retention, identifying customer needs and proposing innovative technical solutions, constructing and following up on commercial offers, optimizing meeting schedul...",https://www.glassdoor.fr/job-listing/j?jl=1009634237488
Ingénieur en intelligence artificielle H/F,Nindô Group,Paris,CDI,2025-02-12,Master / MBA,Python; R; TensorFlow; Keras; Pytorch; Scikit-learn; Panda; Jupyter Notebook; Pycharm; Matplotlib; Seaborn; Tableau; Git; SQL; NoSQL; MongoDB; Cassandra; Google Cloud AI; AWS; Microsoft Azure; Docker; Kubernetes,Anglais,45000.0 - 70000.0 EUR yearly,"Chez Nindô, une entreprise dynamique dans le secteur de l'intelligence artificielle, nous recherchons un Ingénieur en Intelligence Artificielle pour un client majeur dans le secteur bancaire en pleine transformation digitale. Le candidat idéal sera chargé de développer des solutions d'IA avancées, en collaborant étroitement avec les équipes de recherche et développement pour concevoir, déployer et optimiser des modèles d'apprentissage automatique et profond.",https://www.glassdoor.fr/job-listing/j?jl=1009635224602
Contrôleur Financier H/F,Groupement Les Mousquetaires,Vert-le-Grand,CDI,2025-02-12,BAC+5,Finance; Comptabilité; Restructuration; Optimisation des outils et méthodes; Contrôle financier; Analyse financière,Not specified,Not specified,"Le Groupement Les Mousquetaires, une organisation de grande distribution regroupant plusieurs enseignes alimentaires, recherche un.e Contrôleur Financier senior en CDI pour sa Direction Administrative et Financière. Rattaché au Responsable du Contrôle Financier, le candidat sera responsable de la vérification des dossiers de gestion des régions administratives, d'assurer le respect des règles comptables, fiscales et juridiques, et de proposer des optimisations.",https://www.glassdoor.fr/job-listing/j?jl=1009635150138
Stage - Renewables Offtake and Operations Intern H/F,TotalEnergies,Courbevoie,Internship,2025-02-12,BAC+5,Excel; financial modeling; synthesis skills; Office Suite,English,Not specified,"TotalEnergies SE, a global energy company involved in hydrocarbons and various energy sources, is seeking an intern for its Asset and Countries division within TotalEnergies Renewables. This division operates internationally across approximately 20 countries and focuses on the development, construction, and management of renewable energy assets, such as solar and wind projects.",https://www.glassdoor.fr/job-listing/j?jl=1009634449279
Global Lead Buyer H/F/N,OVHcloud,Paris,CDI,2025-02-11,Not specified,achats; négociation; sourcing stratégique; gestion des risques; développement de fournisseurs; RSE; gestion de relations fournisseurs; gestion d'équipe; capacités de communication; SAP,Anglais,Not specified,"The position is for a buyer within the Group Purchasing team at OVHcloud, based in Paris, focusing on industrial purchases and service provision outside of IT. The team, consisting of three buyers responsible for approximately €90 million in annual expenditures, seeks an individual to develop purchasing strategies, negotiate contracts for industrial equipment and services, and collaborate with operational teams to create actionable plans aimed at cost savings and service improvements while ad...",https://www.glassdoor.fr/job-listing/j?jl=1009634084574
"Responsable Design, Expérience et Produits Digitaux H/F",MGEN,Paris,Not specified,2025-02-11,Not specified,Conception et pilotage de parcours digitaux sur le web et le mobile; Management d’équipe et accompagnement au changement; Coordination transverse entre les équipes métiers; digitales et IT; Pilotage de projets complexes et gestion multi-projets; Méthodes agiles (SCRUM; SAFE; KANBAN); pratiques de discovery/delivery; Veille et innovation sur les tendances et technologies digitales,Not specified,Not specified,"Le poste de Responsable Design, Expérience et Produits Digitaux chez MGEN est un contrat à durée indéterminée, axé sur la transformation digitale de l'organisation. Le candidat idéal devra avoir au moins 10 ans d'expérience dans le domaine digital, avec une expertise en gestion de produits, UX/UI, et management d'équipes.",https://www.glassdoor.fr/job-listing/j?jl=1009632891386
Avocat fiscalité immobilière | libéral ou CDI | H/F,PwC,Neuilly,CDI,2025-02-11,Not specified,Fiscalité immobilière; Fiscalité transactionnelle; Accepting Feedback; Active Listening; Analytical Thinking; Base Erosion and Profit Shifting (BEPS); Business Tax; Business Tax Returns; Coaching and Feedback; Communication; Conducting Research; Consulting; Controlled Foreign Companies (Taxes); Corporate Tax Planning; Creativity; Document Management; Domestic Restructuring (Taxes); Embracing Change; Emotional Regulation; Empathy; Financial Accounting; Financial Advising; Financial Planning; Financial Risk Management; Inclusion; Income Tax Provisions,Anglais,Not specified,"PwC Société d'Avocats is seeking a Manager in their General Tax Consulting team, which specializes in various fields including M&A, private equity, and real estate. The successful candidate will join a multidisciplinary group focused on the fiscal aspects of transaction activities related to real estate and infrastructure, and will also be involved in training junior team members.",https://www.glassdoor.fr/job-listing/j?jl=1009633411438
Data Scientist Intern,AXA,Puteaux,Internship,2025-02-11,Master's,Python; SQL; Streamlit; Pandas; NumPy; OCR; NLP; data visualization; Excel,English,832.0 - 1868.0 EUR monthly,"AXA Investment Managers is seeking an intern to join their data team in Puteaux, Hauts-de-Seine, focusing on analyzing and leveraging financial and operational data. The primary responsibilities include designing and implementing an automated reporting framework, automating the collection and processing of unstructured documents, developing and optimizing data pipelines using Python and SQL, enhancing data analysis and visualization tools, and contributing to the exploration of machine learni...",https://www.glassdoor.fr/job-listing/j?jl=1009634115813
CDI - Human Resources Business Partner H/F,Volkswagen Group France,Roissy,CDI,2025-02-11,BAC+5 en Ressources Humaines,droit social; gestion disciplinaire; temps de travail; organisation du travail; conduite du changement; connaissance de la convention de la métallurgie,anglais professionnel,Not specified,"Volkswagen Group France is seeking an experienced Human Resources Business Partner (HRBP) to join its Human Resources department. The HRBP will be responsible for providing strategic support on HR issues such as labor law, recruitment, career management, compensation, and disciplinary procedures, while ensuring compliance with HR practices among operational managers.",https://www.glassdoor.fr/job-listing/j?jl=1009633908979
Architecte infrastructure hyperconvergée ( H/F),Atos,Bezons,Not specified,2025-02-09,Diplôme d'Ingénieur,VMware vSAN; Nutanix; Microsoft Hyper-V; expertise Nutanix; AHV; Prism; Calm; virtualisation; systèmes d'exploitation Windows; systèmes d'exploitation Linux; Ansible; Terraform; gestion de réseaux; solutions de stockage,Anglais,55000.0 - 75000.0 EUR yearly,"Atos Technology Services recherche un Architecte Infrastructure Hyperconvergée (H/F) pour intégrer son équipe dédiée à la transformation digitale des clients. Le candidat sera responsable de la conception, de la mise en œuvre et de la gestion des infrastructures hyperconvergées, nécessitant une collaboration étroite avec les équipes informatiques pour optimiser la performance, la sécurité et l'évolutivité des solutions HCI.",https://www.glassdoor.fr/job-listing/j?jl=1009631539955
CDD - Business Analyst,Rothschild & Co,Paris,CDD,2025-02-08,Bac+5,Finance; Gestion de Patrimoine; MS Office (Word; Excel; PowerPoint),Not specified,Not specified,"Rothschild & Co, une institution financière internationale historique, recherche un(e) Analyste pour son département Business Development au sein de Rothschild Martin Maurel, sa banque privée en France, pour un contrat à durée déterminée de six mois. Le candidat rejoindra une équipe dynamique et collaborera avec des banquiers privés dans les grandes villes françaises ainsi qu'en Belgique et à Monaco.",https://www.glassdoor.fr/job-listing/j?jl=1009630766684
Consultant(e) Business Transformation (H/F),Sia,Paris,Internship,2025-02-08,"Bachelor's or equivalent (grande école d’ingénieur, de commerce, or grande université)",project management; business transformation; operational strategy; governance; restructuring; change management; data analysis; teamwork,Not specified,Not specified,"Sia, un groupe international de conseil en management établi en 1999, cherche à renforcer son équipe de Business Transformation en adoptant une approche axée sur la stratégie opérationnelle pour aider les clients à réussir dans leurs projets de transformation.",https://www.glassdoor.fr/job-listing/j?jl=1009630635941
Commercial sédentaire H/F,26 Academy,Levallois-Perret,CDI,2025-02-07,Not specified,vente; gestion de cycle de vente; évaluation des besoins; relations client; persuasion,Not specified,45000.0 - 100000.0 EUR yearly,"26 Academy, a leading digital training startup in France, is seeking a motivated and experienced Inside Sales Representative (H/F) to oversee the entire sales cycle of their innovative e-learning products. The primary responsibilities include contacting and supporting prospective learners throughout their training journey, addressing objections, assessing needs to offer tailored training solutions, and fostering trusting relationships with clients.",https://www.glassdoor.fr/job-listing/j?jl=1009628853643
Contrôleur Financier Global Markets (H/F),BNP Paribas,Paris,Not specified,2025-02-07,Master's,Perseus; Excel (advanced functions); financial accounting; Global Markets; ALMT,English,Not specified,"The role within BNP Paribas's financial direction focuses on supporting the CFO of BNP Paribas SA France, particularly in monitoring market activities and Asset and Liability Management Treasury (ALMT). Key responsibilities include investigating discrepancies between accounting and analytical results in ALMT, developing multidimensional dashboards to pinpoint anomalies, and participating in various projects that intersect IT, legal, finance, and regulatory aspects, especially concerning new G...",https://www.glassdoor.fr/job-listing/j?jl=1009629228310
Project Support Officer - Intern,Donaldson,Paris,Internship,2025-02-07,Preferable formazione tecnica (periti industriali o laurea in ingegneria) ma non indispensabile,pacchetto office; CAD 2D; Solidworks 3D,inglese,Not specified,"Donaldson is seeking a proactive Project Support Officer intern for its Opera (Milan) office, specifically within the Industrial Air Filtration engineering team. This role presents an excellent opportunity to gain practical experience in a leading multinational company focused on filtration technology.",https://www.glassdoor.fr/job-listing/j?jl=1009628847198
Commercial B to C H/F,26 Academy,Paris,CDI,2025-02-07,Not specified,Vente; Conseil client; Analyse des besoins de formation; Convaincre; Relation client,Not specified,45000.0 - 90000.0 EUR yearly,"26 Academy, a leading digital training start-up in France, is seeking a Commercial (H/F) to manage the complete sales cycle of their education products. The role involves autonomously contacting and advising B2C prospects about their training projects, addressing objections, analyzing needs, and building trustworthy relationships with clients.",https://www.glassdoor.fr/job-listing/j?jl=1009628850604
Business Process Owner - Maintenance & Installation - F/H/X,Verisure,Antony,CDI,2025-02-06,BAC +5 Ingénieur Généraliste ou Ingénieur avec spécialisation,Optimisation de processus; Amélioration Continue; Lean Management; Systèmes d’information; Process Mapping; capacité analytique; Salesforce; Oracle Field Service; rédaction d’un besoin fonctionnel; méthode Agile; outils Jira; suite Atlassian; PowerBI; Microsoft Visio,Anglais courant; Espagnol (souhaité),Not specified,"Verisure is seeking a Business Process Owner (BPO) to join its Strategy and Transformation team in Paris, responsible for enhancing operational performance, particularly in the 'Installation & Maintenance' processes. The role involves diagnosing and prioritizing IT tool improvements, executing an optimization roadmap, and acting as a bridge between business requirements and IT platforms.",https://www.glassdoor.fr/job-listing/j?jl=1009627299710
Business Developer,Live Nation,Paris,CDD,2025-02-06,Bac + 4/5 ecole de commerce ou équivalent,Développement et mise en place de stratégies commerciales; Valorisation et commercialisation d’un projet; Développement d’argumentaires commerciaux percutants; Techniques de négociation; Gestion efficace de projets; Savoir accompagner la croissance d’un objectif ambitieux; Capacité à fidéliser et développer des relations commerciales à long terme,Anglais,Not specified,"Live Nation SAS is seeking a Business Developer for a 10-month contract based in Paris, with occasional travel across France. The primary responsibility of this role is to execute the commercial strategy within the partnership department, aiming to meet the assigned financial targets. Key activities include commercial development and public relations through industry research, prospecting, preparing partnership proposals, and representing the company at relevant events.",https://www.glassdoor.fr/job-listing/j?jl=1009627814639
Stage - Assistant(e) Business Développement Byredo (H/F),PUIG,Paris,Internship,2025-02-06,Bachelor ou Master,analyse; communication; Microsoft Office; Excel; PowerPoint,anglais,Not specified,"Puig, a leading player in the global fashion and beauty industry based in Paris, is seeking an Assistant in Business Development to join its EMEA & US team. The primary responsibilities of this internship include conducting business analysis by collecting and analyzing sell-out data to create monthly performance reports, developing dashboards to track key performance indicators (KPIs), and maintaining the distribution mapping across regions.",https://www.glassdoor.fr/job-listing/j?jl=1009627634572
International Maketing Specialist H/F,Vygon,Écouen,Internship,2025-02-05,Master or MBA (Bac+5 technique),Stratégie produit; Développement commercial; Analyse de données marché; Veille concurrentielle; Gestion de la performance; Formation des équipes commerciales; Collaboration avec R&D; Elaboration de documents techniques; Innovation et amélioration des produits,Anglais,Not specified,"Vygon, a recognized player in the design and distribution of innovative medical devices, is seeking an International Marketing Manager to lead and develop its strategic ranges, Qimono and Elastomeric Pumps, on an international scale. This crucial role focuses on product strategy and business development in collaboration with various internal teams, including R&D and regulatory affairs, as well as with external partners.",https://www.glassdoor.fr/job-listing/j?jl=1009626046286
STAGE - Web merchandiser H/F,Groupement Les Mousquetaires,Châtillon,Internship,2025-02-05,Bac+4/5 or equivalent,digital; e-commerce; merchandising; marketing client; Trello; Teams; OneNote; Excel; CMS; Pack office,Not specified,1200.0 - 1200.0 EUR monthly,"Le Groupement Les Mousquetaires, regroupant les enseignes Intermarché et Netto et fort de 3 000 chefs d'entreprise indépendants, recherche un(e) stagiaire Assistant(e) E-merchandiser pour sa Direction Digitale. Sous la supervision du Responsable E-merchandising, le stagiaire sera chargé de plusieurs missions, notamment l'application de la stratégie d'e-merchandising sur le site Intermarche.com, l'optimisation de l'ergonomie du site, et la création de règles de ranking pour le produit Drive.",https://www.glassdoor.fr/job-listing/j?jl=1009627083406
Ingénieur Système Stockage F/H,OUTSCALE,Saint-Cloud,Not specified,2025-02-05,Master's,Linux; QEMU-KVM; Cisco UCS; Nexus; NetApp; PureStorage; Scality; Portworx; Ceph; SAN; NAS; SDS; NFS; iSCSI; NVMe-oF,Not specified,Not specified,"OUTSCALE, a brand of Dassault Systèmes, is seeking a Systems Storage Engineer to enhance its Infrastructure team. The role entails actively participating in the architecture and design of storage solutions for Outscale's IaaS offerings, providing technical oversight for software development including algorithms and validation, and designing optimal end-to-end software-defined storage solutions.",https://www.glassdoor.fr/job-listing/j?jl=1009627100180
Support utilisateurs (H/F),ARCELORMITTAL TREASURY,Paris,CDI,2025-02-05,Not specified,support infra utilisateur; MDM; Intune; gestion des comptes; gestion des postes; gestion des imprimantes; téléphonie; sécurité équipements,Anglais,40000.0 - 45000.0 EUR yearly,"ArcelorMittal Treasury SNC is seeking a Field Support User to join its IT department, which is responsible for system operations, infrastructure support, and ensuring the security of the information systems across the organization. The main responsibilities of the position include preparing user profiles and setups, managing Mobile Device Management (MDM) profiles via Intune, providing user support for various IT infrastructure aspects including accounts, workstations, printers, telephony, me...",https://www.glassdoor.fr/job-listing/j?jl=1009626107620
Responsable Département Adjoint Produits Editoriaux F/H,Groupe Fnac Darty,Herblay,CDI,2025-02-05,Bac + 2/3 commerce,management; communication; team leadership; business orientation; customer service; budgeting; strategic planning; team development; recruitment; training,Not specified,Not specified,"The position of Assistant Department Manager for Editorial Products at Fnac Darty involves supporting the Department Manager in overseeing, organizing, managing, and developing the editorial product department within a store. Key responsibilities include daily team leadership, customer engagement, assisting in budget construction, and participating in departmental strategy definition and implementation.",https://www.glassdoor.fr/job-listing/j?jl=1009625806954
6-month Internship – Investment Intern – BOLD – July 2025,l'Oréal,Paris,Internship,2025-02-04,Master 1 or 2,financial modeling; accounting principles; quantitative analysis; qualitative analysis; business development; strategic presentations; financial presentations; due diligence; deal administration,Not specified,Not specified,"The Investment Internship at BOLD is a six-month opportunity from July to December 2025, located in Clichy, offering a monthly salary of EUR 1700. This role involves working within a dynamic investment team that focuses on corporate venture across various sectors, including beauty brands, technology, biotechnology, and services.",https://www.glassdoor.fr/job-listing/j?jl=1009624619777
Coordinateur/Coordinatrice programme projets sur mesure F/H,EM LYON Business School,Paris,CDD,2025-02-04,Bac+2/+3,outils bureautiques; techniques d'organisation d'évènements; gestion de projets de formation; systèmes d'informations (ERP; CRM; LMS; outils collaboratifs),anglais,Not specified,"La direction stratégie & développement d'une école de commerce de renommée mondiale recherche un(e) Coordinateur/Coordinatrice de Projets sur mesure dans le cadre d'un contrat à durée déterminée à temps plein. Les principales responsabilités incluent la coordination des programmes de formation sur mesure en collaboration avec les parties prenantes, la gestion des aspects logistiques des sessions de formation, ainsi que le suivi administratif des programmes dans un système d'information spécif...",https://www.glassdoor.fr/job-listing/j?jl=1009625513552
Ops Intern,Zoī,Paris,Internship,2025-02-04,Not specified,Excel; Google Sheets,French; English,Not specified,"Zoī is seeking a dedicated Ops Intern to join its innovative team, where the primary mission is to enhance the healthcare experience through advanced technology and exceptional patient care. In this role, the intern will be responsible for optimizing patient and healthcare professional interactions, collaborating on the integration of innovative medical technologies, assisting in partnership development with external entities, and supporting talent management processes for center staff.",https://www.glassdoor.fr/job-listing/j?jl=1009624164015
Business developer / Headhunter,Hirestone,Paris,Not specified,2025-02-04,Not specified,Détection et qualification des besoins; Négociation; Accélération des process de vente; Gestion de CRM; Qualification des candidats; Chasse de profils niches; Rédaction d'offres; Réseau de talents tech; Accompagnement des partenaires; Coaching des candidats; Négociations salariales,Not specified,30000.0 - 45000.0 EUR yearly,"Hirestone is a dynamic recruitment company in the tech sector looking for a Business Developer/Recruitment Consultant to join its growing team. The main responsibilities include detecting and qualifying client needs, negotiating service terms, accelerating sales processes, and maintaining client relationships through an internal CRM.",https://www.glassdoor.fr/job-listing/j?jl=1009624796003
Product Manager F/H,OUTSCALE,Saint-Cloud,Not specified,2025-02-03,Bac+5,Confluence; Jira; Maze; Figma; Figjam; Webex; Slack; Teams; Cloud; systèmes d’information; IaaS; SaaS; API connections,Not specified,Not specified,"OUTSCALE is seeking a **Product Manager** to enhance its **Marketplace** team, which simplifies client access to cloud solutions through a unified platform for partners and end-users. The ideal candidate will identify client needs and market trends to develop product strategies aligned with the company's goals, create and manage product roadmaps and backlogs, and facilitate collaborative workshops for ideation and prioritization.",https://www.glassdoor.fr/job-listing/j?jl=1009623391981
BUSINESS DEVELOPER (F/H),Clareo Lighting,Paris,Not specified,2025-02-01,BAC+2 minimum spécialisation commerce/vente ou technique,CRM; ERP; outils digitaux; forte sensibilité technique; connaissance de l’éclairage,Not specified,40000.0 - 80000.0 EUR yearly,"CLAREO, un acteur innovant du secteur de l'éclairage LED en France, recherche un commercial pour développer et fidéliser un portefeuille clients diversifié. Dans ce rôle, les principales responsabilités incluent la gestion de ventes en cycles courts et longs pour des grands projets, en collaboration avec une équipe d'ingénieurs, ainsi que la réalisation de rendez-vous physiques et téléphoniques avec les clients.",https://www.glassdoor.fr/job-listing/j?jl=1009621060302
INTERNSHIP - Global Strategy & Insights Assistant - July 2025 - 6 months - (M/W),Danone,Paris,Internship,2025-02-01,"Bachelor's or Master's (4 to 5 years study level from university, business or engineering school)",search analytics; e-listening; Google trends; Kantar; Mintel; Euromonitor; consumer/market research; presentations; workshops; content creation; Excel; PowerPoint,English,Not specified,"Danone is offering a six-month internship opportunity in Paris starting in July 2025, as part of the Global Dairy or Waters Strategy & Insights team. Interns will focus on identifying consumer-centric growth opportunities for Danone's brands by conducting in-depth analyses of consumer and product trends, coordinating market research, and collaborating with partner agencies and internal stakeholders.",https://www.glassdoor.fr/job-listing/j?jl=1009620051334
INTERNSHIP – Assistant Global Brand Manager – July 2025 - (M/W),Danone,Paris,Internship,2025-02-01,Bachelor's or Master's (Bac+4 or Bac+5),Excel; Lookup functions (Recherchev); PowerPoint,English,Not specified,"Danone is offering a six-month internship based in Paris starting July 2025, focusing on the brand strategy for one of its renowned dairy or water brands, such as Activia or Evian. Interns will support the International Team in tasks such as monitoring monthly sales and action plans, gathering best practices from different countries, and managing transversal projects involving various internal stakeholders.",https://www.glassdoor.fr/job-listing/j?jl=1009620051330
Business Developer Immobilier d’Entreprise (H/F),Taylor Made Future,Paris,CDI,2025-02-01,Not specified,prospection; développement commercial; gestion du cycle de vente; veille concurrentielle; élaboration de stratégies; animation de réseau; partenariats; suivi de projets; stratégie immobilière; conception; travaux; maîtrise des outils informatiques; CRM,Not specified,40000.0 - 72000.0 EUR yearly,"La société cherche un expert en immobilier d'entreprise passionné par le développement commercial pour un poste clé en 2025, offrant un environnement stimulant et des perspectives d'évolution. Les principales responsabilités incluent la prospection et le développement commercial en identifiant des leads stratégiques, en élaborant des stratégies de vente, et en gérant l'ensemble du cycle de vente jusqu'à la signature des contrats.",https://www.glassdoor.fr/job-listing/j?jl=1009622401377
Agent Commercial transaction de Pharmacies IDF F/H,Menestys Conseil,Paris,Not specified,2025-01-31,Not specified,prospection; analyse financière; connaissance du secteur pharmaceutique; vente; création de relations; travail en équipe; autonomie,Not specified,Not specified,"Menestys Conseil is seeking two independent sales agents to develop the network of a well-known company specializing in assisting pharmacists with the sale of their businesses in the Île-de-France region. The primary responsibilities include actively prospecting pharmacists looking to sell their pharmacies, analyzing financial statements and legal documents to assess the value of pharmacies, and identifying potential buyers through networking and the company’s internal tools.",https://www.glassdoor.fr/job-listing/j?jl=1009618301286
Business analyst,KUBE Partners S.L. / Pixie Services,Paris,Not specified,2025-01-31,Master's,ARIS; BPMN; business process optimization; process analysis; project management,Not specified,40000.0 - 45000.0 EUR yearly,"The job involves responsibility for the modeling and optimization of business processes, requiring the candidate to analyze current processes alongside business and operational teams to identify functional needs, workflow issues, and inefficiencies. The role necessitates mapping these processes clearly using the enterprise architecture tool ARIS, adhering to BPMN standards to ensure comprehensibility for stakeholders.",https://www.glassdoor.fr/job-listing/j?jl=1009619946561
CONSULTANT JUNIOR H/F,My little company,Boulogne-Billancourt,Not specified,2025-01-31,Master II,changement; ressources humaines; transformation digitale; agile; business case; audit; recommandations; benchmark; talent management; process engineering; analyse d’impacts; pilotage; études fonctionnelles; déploiement; formations; communication digitale; communication collaborative,anglais,Not specified,"My Company is seeking consultants to enhance its Transformation service line, focusing on change management and human resources with a strong digital perspective. The role involves working with large enterprises and public administrations across various sectors on key digital transformation projects using agile methodologies.",https://www.glassdoor.fr/job-listing/j?jl=1009618128700
Architecte Logiciel Rust F/H,OUTSCALE,Saint-Cloud,Not specified,2025-01-30,Master's,Rust; bases de données (KV); HTTP; HTTPS; TCP; OTLP; Prometheus; architectures de stockage; object storage (S3); distributed storage; conception d’architecture logicielle; infrastructure cloud,Not specified,Not specified,"OUTSCALE, a subsidiary of Dassault Systèmes focusing on reliable technological environments, seeks a Software Architect proficient in Rust to enhance its Outscale Object Storage team. The role entails producing software architectures by translating functional requirements, ensuring compliance with security standards, and delivering comprehensive documentation. Responsibilities also include unit and integration testing, automation of build processes, and participation in DevOps initiatives.",https://www.glassdoor.fr/job-listing/j?jl=1009616609245
"Health, Safety & Environment Manager (HSE Manager)",HILTI,Bois-d'Arcy,Not specified,2025-01-30,Bac+5,HSE management; risk assessment; regulatory compliance; auditing; accident management; ISO 14001 certification; documentation management; 5S management; health and safety legislation,English,Not specified,"As a HSE Manager at Hilti, you will oversee health, safety, and environmental policies for the logistics and after-sales teams located in Magny-les-Hameaux and Bois d'Arcy, ensuring a safe and secure workplace for employees. Your responsibilities will include conducting risk assessments, managing compliance with health and safety regulations, implementing security and environmental audits, and collaborating with teams for training and equipment management.",https://www.glassdoor.fr/job-listing/j?jl=1009616935548
Deutsche Bank Internship Programme - Investment Bank: Corporate Finance – Origination & Advisory - Paris - July 2025,Deutsche Bank,Paris,Internship,2025-01-29,Not specified,financial analysis; analytical skills; synthetic thinking,French; English,Not specified,"The Deutsche Bank Internship Programme offers a six-month opportunity for interns to gain hands-on experience and formal training within the Corporate Finance division, focusing on advisory and financing services for a diverse client base, including corporates and governments.",https://www.glassdoor.fr/job-listing/j?jl=1009615242977
